,train accuracy,test accuracy,y score,class report,confusion_matrix,y test,y pred
0,0.7117117117117117,0.5714285714285714,"[-0.1066607   0.12698371 -0.07360842 -0.1390584   0.34454834 -0.13331039
  0.11404799 -0.23300075 -0.18599648 -0.14700169 -0.08316148 -0.11099077
 -0.13865228 -0.12885375 -0.12733086 -0.06982267 -0.08599556 -0.11682849
 -0.10525496  0.22161502 -0.0493936  -0.11958238 -1.41280011 -1.02350548
 -0.1715915  -0.09156852 -0.03286078 -0.7049977  -0.04170563 -0.14848021
 -0.99321703 -0.61199375 -0.1619954   0.1967333  -0.20717946 -0.264855
  0.40978909 -0.05686417 -0.1056734  -0.05323232 -0.23826339 -0.55851547
  0.38611576 -0.07648285 -0.07312478 -4.39705296 -0.2751452  -1.23341621
 -0.06332638 -0.09002388 -0.11329387 -0.11903674 -0.11377193 -0.14353722
 -0.09023455 -0.0833858 ]","['              precision    recall  f1-score   support', '', '           0       0.59      0.88      0.71        33', '           1       0.43      0.13      0.20        23', '', '   micro avg       0.57      0.57      0.57        56', '   macro avg       0.51      0.50      0.45        56', 'weighted avg       0.52      0.57      0.50        56', '']","[[29  4]
 [20  3]]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1,0.5045045045045045,0.4107142857142857,"[  0.43225877  -0.11546053   0.63333185   0.51528916   0.50316994
   0.25638843   0.43919733   0.27741216   0.41627541   0.18402157
   0.42054393   0.4124622    0.52308654   0.43349768   0.44652335
   0.5626485    0.1299683    0.46234762   0.39702389   0.60457241
   0.47984401   0.39309069   0.39096449   0.46905004   0.53401703
   0.53740665  -0.02669165   0.78908038   0.53265098   0.4631514
   0.47570469   0.39286391  -1.18354529   0.20912071  -0.08176636
  -0.60286541   0.5969989    0.2871772    0.36419609   0.48509679
   0.1348277    0.64772435   0.30602093   0.49202632   0.24362155
   0.85969308   0.49737759   0.66983952   0.37530619   0.32592052
   0.4271851    1.07796261 -16.05346768   0.08105594   0.61936537
   0.39847513]","['              precision    recall  f1-score   support', '', '           0       0.67      0.11      0.20        35', '           1       0.38      0.90      0.54        21', '', '   micro avg       0.41      0.41      0.41        56', '   macro avg       0.52      0.51      0.37        56', 'weighted avg       0.56      0.41      0.32        56', '']","[[ 4 31]
 [ 2 19]]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1]"
2,0.5225225225225225,0.4107142857142857,"[ 0.30515051  0.29848068  0.44971431  0.21836395  0.18573196  0.25035259
  0.38784103  0.32499067  0.35163543 -0.03162988  0.3255418   0.29509084
  0.3230689   0.2727642   0.37089487  0.37131709  0.0619908  -3.43926819
  0.36895715  0.24417813  0.60746948  0.32722657  0.46721922  0.51052147
  0.31231447  0.30122404  0.34387762  0.15942682  0.42668657  0.30779476
  0.29527784  0.16371993 -0.18379967  0.75940059  0.40928177  0.21740138
  0.17920035 -0.2315872   0.69607003  0.28830191  0.31140157  0.0663887
  0.07980709  0.26061382  0.1655845   0.1955282   0.7384553   0.3858721
  0.34454046  0.4983936   0.30150635  0.05546798  0.31679379  0.21443605
  0.2543536   0.21188308]","['              precision    recall  f1-score   support', '', '           0       1.00      0.11      0.20        37', '           1       0.37      1.00      0.54        19', '', '   micro avg       0.41      0.41      0.41        56', '   macro avg       0.68      0.55      0.37        56', 'weighted avg       0.78      0.41      0.31        56', '']","[[ 4 33]
 [ 0 19]]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]","[1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
3,0.6801801801801802,0.625,"[-0.54182426 -0.24152029 -0.17497281 -0.30034679  0.03824154 -0.12923783
 -0.37408236 -0.44760577 -0.6925702  -0.05425845 -0.26539708 -0.31301581
 -0.30684609 -0.16777273 -0.33856701 -1.44017048 -0.32227281  0.58254238
 -0.3552131  -0.45236017 -0.25594454 -0.29553297 -0.24573385 -6.32191792
 -0.41789375 -1.33663269 -0.09034363  0.29947028 -0.34951507 -0.30699482
 -0.84723211 -0.33959789 -0.19194445 -0.27482639 -0.27274758 -0.34362199
  0.25725965 -0.95249095 -0.28403278 -2.35215937 -0.12500691 -3.81457337
 -0.32289722 -0.52164669 -0.30191513 -0.41518452 -0.17485487 -0.28909274
  0.31373863 -1.81803464 -0.04049804 -0.22489994 -0.31508276 -0.2943105
 -0.34577111  0.21168155]","['              precision    recall  f1-score   support', '', '           0       0.64      0.91      0.75        35', '           1       0.50      0.14      0.22        21', '', '   micro avg       0.62      0.62      0.62        56', '   macro avg       0.57      0.53      0.49        56', 'weighted avg       0.59      0.62      0.55        56', '']","[[32  3]
 [18  3]]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1]"
4,0.4864864864864865,0.375,"[ 0.82887199  0.54926374  0.5346697   0.54098324  0.55786917  0.57998382
  0.69348452  0.5816402   0.51876356  0.58305134  0.79615765  0.82650056
  0.51879175  0.21093722  0.40646775 -0.68619122  0.16633798  0.58642073
  0.33272255  0.01047746  0.87499938  0.58471432  0.78703344  0.70476798
  0.73784827  0.49748046  0.63602004  0.63347726  1.08030982  0.5164803
  0.45658784  0.58304899  0.59746523  0.53469478  0.55461882 -6.54721955
  0.29349247  0.30826698  0.19831745  0.55868054  0.55731382  0.44373472
  0.55763717  0.60006713  0.69833238  0.53142581 -0.68758185  0.52573771
  0.66417302  0.32635997  0.61531043  0.55475442  0.60807276  0.62562595
 -0.53480108  0.58870199]","['              precision    recall  f1-score   support', '', '           0       0.75      0.08      0.15        37', '           1       0.35      0.95      0.51        19', '', '   micro avg       0.38      0.38      0.38        56', '   macro avg       0.55      0.51      0.33        56', 'weighted avg       0.61      0.38      0.27        56', '']","[[ 3 34]
 [ 1 18]]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1]"
5,0.49099099099099097,0.4107142857142857,"[ 0.43758953 -0.47382095  0.40682197  0.33764628  0.45986953  0.42746888
  0.83217939  0.48085626  0.42450389  0.27237697  0.42784731  1.11240786
  0.44502442  0.48192358  0.3117037   0.30306244  0.38517517  0.49310119
  0.34799298  0.33036872 -0.98841821  0.39380763  0.25766032  0.34868621
  0.43532518  1.06154137  0.9343772   0.44991184 -0.37246506  0.41996907
  0.28329089  0.44504777  0.45011611 -0.12750866  0.32019816  0.47143501
  0.06738494  0.5190125   0.71602679  0.52626535  0.47901553  0.34242354
  0.46850889  0.41577895  0.41065285  0.34151911  0.16766856  0.40999361
  0.63378531  0.41612346 -0.0191797   0.45952453  0.4311154   0.54655541
  0.71500626  0.79913385]","['              precision    recall  f1-score   support', '', '           0       0.80      0.11      0.20        36', '           1       0.37      0.95      0.54        20', '', '   micro avg       0.41      0.41      0.41        56', '   macro avg       0.59      0.53      0.37        56', 'weighted avg       0.65      0.41      0.32        56', '']","[[ 4 32]
 [ 1 19]]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1]"
6,0.5180180180180181,0.5178571428571429,"[ 0.25271951  0.17293114 -0.07056571  0.38708047  1.09060913  0.13588716
  0.0097014   0.1904114   0.20999418  0.25972048 -1.08650224  0.16184353
  0.23807458 -3.35534713  0.30907582  0.21335308  0.12501667 -0.53949375
  0.16636636 -0.13749846  0.20072758  0.01262842  0.04259721  0.2300172
  0.09646156  0.20737579  0.12285957  0.17282883  0.29362725  0.37798503
  0.31445791 -0.08260586  0.14224496  0.61663763  0.13414852  0.29022074
  0.18685841  0.1900185  -1.09226298  0.38845057  0.1617417   0.3084189
  0.20659541  0.19413309  0.08545395 -0.05881099  0.18316255  0.152866
  0.08449374  0.0710398   0.53084085  0.37977402  0.48065435  0.17677151
  0.18832632  0.23303853]","['              precision    recall  f1-score   support', '', '           0       0.88      0.21      0.34        33', '           1       0.46      0.96      0.62        23', '', '   micro avg       0.52      0.52      0.52        56', '   macro avg       0.67      0.58      0.48        56', 'weighted avg       0.70      0.52      0.46        56', '']","[[ 7 26]
 [ 1 22]]","[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0]","[1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1]"
7,0.527027027027027,0.6071428571428571,"[-1.19444943  0.08606079  0.01321006  0.15613651  0.17353769  0.26776613
  0.28947203  0.24184527  0.0984934  -0.10850399  0.06886465  0.20307986
  0.29734157 -3.89439576  0.49892106  0.15699452  0.09741212  0.1373216
  0.22702776  0.07493269  0.07013254  0.11133053 -1.29683612  0.12078203
  0.0915405   0.51140365  0.32835661  0.34589259  0.15205887  0.28129039
 -0.53968198  0.4355326   0.11418128 -0.41696277 -0.22488537  0.04130987
  0.50381009  0.1499303   0.27270945 -0.00775937  0.12336713 -0.05862827
  0.20456923  0.70815713 -0.03375543  0.294922   -1.04547351  0.0126415
  0.10442458 -0.43607717  0.1558635   0.26290122  0.09445257  0.09523013
  0.13714245 -0.92483691]","['              precision    recall  f1-score   support', '', '           0       0.69      0.33      0.45        27', '           1       0.58      0.86      0.69        29', '', '   micro avg       0.61      0.61      0.61        56', '   macro avg       0.64      0.60      0.57        56', 'weighted avg       0.63      0.61      0.58        56', '']","[[ 9 18]
 [ 4 25]]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1
 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0]"
8,0.5,0.48214285714285715,"[-0.07755079  0.46389251  0.20714529  0.27059572  0.36267391  0.45866964
  0.31086277  0.65183612  0.35723984  0.11712527  0.6919886   0.18470764
  0.34998708  0.36611295  0.52122583 -0.13197868  0.3147169   0.60723497
  0.28530525  0.4214562  -0.88954239  0.48704139  0.39047229  0.33100158
  0.28017003  0.46144206  0.33710997 -0.9060927   0.31097254  0.04971384
  0.42878709  0.30377433  0.57676057  0.36430852  0.39811015  0.34798557
  0.35956379  0.32118383  0.38027063  0.62894051  0.38702074  0.49297959
  0.36607587  0.22490017 -0.60405992  0.39381301  0.09385513  0.33855398
  0.33268519  0.39673047  0.36939127  0.550065    0.63800537  0.36401839
  0.46949542  0.36681798]","['              precision    recall  f1-score   support', '', '           0       0.80      0.12      0.22        32', '           1       0.45      0.96      0.61        24', '', '   micro avg       0.48      0.48      0.48        56', '   macro avg       0.63      0.54      0.41        56', 'weighted avg       0.65      0.48      0.39        56', '']","[[ 4 28]
 [ 1 23]]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]","[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1]"
9,0.536036036036036,0.35714285714285715,"[ 0.36615789  0.53092899  0.39318138  0.57619162  0.36424223  0.26187917
  0.45968568 -0.89086418  0.46150508  0.41305436  0.25156468  0.38679908
  0.2081705   0.49138573  0.41608619  0.41769393  0.74455156  0.46778664
 -0.46796681  0.56292617  0.54626492  0.36895458  0.37792932  0.44848075
  1.06821808  0.44146306  0.65529264  0.41606155  0.87231697  0.43527393
  0.35025633  0.43174157  0.60473899  0.17829139  0.18383964 -0.50050485
  0.43069002  0.529312    0.38874029  0.37431401  0.43994788  0.33072767
 -0.45423569  0.60530667  0.37840152  0.37950242  0.39069774  0.35482248
  0.33510762  0.24454442  0.34473892  0.43996406  0.37185181  0.04007562
 -2.44993833 -0.81679994]","['              precision    recall  f1-score   support', '', '           0       0.83      0.12      0.22        40', '           1       0.30      0.94      0.45        16', '', '   micro avg       0.36      0.36      0.36        56', '   macro avg       0.57      0.53      0.34        56', 'weighted avg       0.68      0.36      0.29        56', '']","[[ 5 35]
 [ 1 15]]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]","[1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0]"
